Date : 2026-03-30 01:39:14
Directory : c:\Users\mohit\Desktop\I\unicore_g\app
Total : 82 files,  8564 codes, 361 comments, 1044 blanks, all 9969 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         54 |      6,551 |        202 |        670 |      7,423 |
| TypeScript     |         27 |      1,743 |        155 |        340 |      2,238 |
| PostCSS        |          1 |        270 |          4 |         34 |        308 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         82 |      8,564 |        361 |      1,044 |      9,969 |
| . (Files)                                                                                        |          4 |        405 |         45 |         57 |        507 |
| [tenant]                                                                                         |         48 |      5,752 |        140 |        572 |      6,464 |
| [tenant] (Files)                                                                                 |          3 |        119 |         10 |         23 |        152 |
| [tenant]\[...catchAll]                                                                           |          1 |          4 |          0 |          2 |          6 |
| [tenant]\accept-invite                                                                           |          1 |        157 |         16 |         16 |        189 |
| [tenant]\admin                                                                                   |         23 |      3,105 |         57 |        272 |      3,434 |
| [tenant]\admin (Files)                                                                           |          1 |         68 |          5 |         10 |         83 |
| [tenant]\admin\academic-periods                                                                  |          2 |        234 |          2 |         21 |        257 |
| [tenant]\admin\courses                                                                           |          2 |        262 |          6 |         24 |        292 |
| [tenant]\admin\dashboard                                                                         |          1 |         67 |          2 |         11 |         80 |
| [tenant]\admin\departments                                                                       |          2 |        245 |          5 |         22 |        272 |
| [tenant]\admin\exams                                                                             |          2 |        279 |          1 |         20 |        300 |
| [tenant]\admin\faculty                                                                           |          2 |        404 |          5 |         29 |        438 |
| [tenant]\admin\notices                                                                           |          5 |        253 |          0 |         38 |        291 |
| [tenant]\admin\notices (Files)                                                                   |          3 |        224 |          0 |         28 |        252 |
| [tenant]\admin\notices\[id]                                                                      |          1 |         20 |          0 |          7 |         27 |
| [tenant]\admin\notices\[id]\edit                                                                 |          1 |         20 |          0 |          7 |         27 |
| [tenant]\admin\notices\create                                                                    |          1 |          9 |          0 |          3 |         12 |
| [tenant]\admin\settings                                                                          |          2 |        169 |          1 |         24 |        194 |
| [tenant]\admin\students                                                                          |          2 |        463 |         14 |         33 |        510 |
| [tenant]\admin\subjects                                                                          |          2 |        661 |         16 |         40 |        717 |
| [tenant]\faculty                                                                                 |          6 |        824 |         19 |         89 |        932 |
| [tenant]\faculty (Files)                                                                         |          1 |         68 |          5 |          9 |         82 |
| [tenant]\faculty\attendance                                                                      |          2 |        429 |         11 |         41 |        481 |
| [tenant]\faculty\dashboard                                                                       |          1 |        110 |          2 |         16 |        128 |
| [tenant]\faculty\profile                                                                         |          1 |        117 |          0 |         11 |        128 |
| [tenant]\faculty\subjects                                                                        |          1 |        100 |          1 |         12 |        113 |
| [tenant]\forgot-password                                                                         |          1 |        120 |          1 |         14 |        135 |
| [tenant]\login                                                                                   |          1 |         21 |         11 |          6 |         38 |
| [tenant]\reset-password                                                                          |          1 |        165 |          1 |         20 |        186 |
| [tenant]\setup-password                                                                          |          1 |        199 |          0 |         22 |        221 |
| [tenant]\student                                                                                 |         10 |      1,038 |         25 |        108 |      1,171 |
| [tenant]\student (Files)                                                                         |          2 |         73 |          3 |         12 |         88 |
| [tenant]\student\activate                                                                        |          1 |         15 |          1 |          4 |         20 |
| [tenant]\student\attendance                                                                      |          1 |         96 |          4 |         15 |        115 |
| [tenant]\student\dashboard                                                                       |          1 |        288 |         12 |         25 |        325 |
| [tenant]\student\fees                                                                            |          1 |         36 |          0 |          7 |         43 |
| [tenant]\student\notices                                                                         |          1 |         79 |          0 |          9 |         88 |
| [tenant]\student\profile                                                                         |          1 |        146 |          3 |         12 |        161 |
| [tenant]\student\subjects                                                                        |          1 |        198 |          0 |         15 |        213 |
| [tenant]\student\timetable                                                                       |          1 |        107 |          2 |          9 |        118 |
| api                                                                                              |         27 |      1,743 |        155 |        340 |      2,238 |
| api\academic-periods                                                                             |          2 |         60 |          3 |         13 |         76 |
| api\academic-periods (Files)                                                                     |          1 |         39 |          3 |          8 |         50 |
| api\academic-periods\[id]                                                                        |          1 |         21 |          0 |          5 |         26 |
| api\admin                                                                                        |          1 |         52 |          2 |          9 |         63 |
| api\admin\modules                                                                                |          1 |         52 |          2 |          9 |         63 |
| api\admin\modules\toggle                                                                         |          1 |         52 |          2 |          9 |         63 |
| api\auth                                                                                         |          9 |        496 |         49 |        103 |        648 |
| api\auth\accept-invite                                                                           |          1 |        101 |          8 |         14 |        123 |
| api\auth\activate                                                                                |          1 |         99 |          8 |         20 |        127 |
| api\auth\forgot-password                                                                         |          1 |         47 |          7 |          9 |         63 |
| api\auth\invite                                                                                  |          1 |         52 |          4 |         14 |         70 |
| api\auth\login                                                                                   |          1 |         72 |          6 |         13 |         91 |
| api\auth\logout                                                                                  |          1 |          6 |          1 |          4 |         11 |
| api\auth\register                                                                                |          1 |         40 |          7 |          9 |         56 |
| api\auth\reset-password                                                                          |          1 |         41 |          5 |         10 |         56 |
| api\auth\setup-password                                                                          |          1 |         38 |          3 |         10 |         51 |
| api\faculty                                                                                      |          1 |        109 |         11 |         25 |        145 |
| api\institutions                                                                                 |          2 |         93 |          5 |         19 |        117 |
| api\institutions\register                                                                        |          1 |         56 |          4 |         11 |         71 |
| api\institutions\settings                                                                        |          1 |         37 |          1 |          8 |         46 |
| api\modules                                                                                      |         11 |        928 |         85 |        170 |      1,183 |
| api\modules\attendance                                                                           |          3 |        204 |         23 |         36 |        263 |
| api\modules\attendance (Files)                                                                   |          1 |         29 |          8 |          5 |         42 |
| api\modules\attendance\mark                                                                      |          1 |        121 |         12 |         20 |        153 |
| api\modules\attendance\report                                                                    |          1 |         54 |          3 |         11 |         68 |
| api\modules\courses                                                                              |          1 |         84 |          1 |         14 |         99 |
| api\modules\departments                                                                          |          1 |         64 |          0 |         12 |         76 |
| api\modules\exams                                                                                |          1 |         58 |          9 |         10 |         77 |
| api\modules\notices                                                                              |          1 |        110 |         18 |         23 |        151 |
| api\modules\students                                                                             |          2 |        170 |         20 |         29 |        219 |
| api\modules\students (Files)                                                                     |          1 |        136 |         14 |         21 |        171 |
| api\modules\students\enroll                                                                      |          1 |         34 |          6 |          8 |         48 |
| api\modules\subjects                                                                             |          2 |        238 |         14 |         46 |        298 |
| api\modules\subjects (Files)                                                                     |          1 |        164 |          5 |         30 |        199 |
| api\modules\subjects\assign                                                                      |          1 |         74 |          9 |         16 |         99 |
| api\test                                                                                         |          1 |          5 |          0 |          1 |          6 |
| login                                                                                            |          1 |        295 |         11 |         30 |        336 |
| register                                                                                         |          1 |        144 |          2 |         20 |        166 |
| student                                                                                          |          1 |        225 |          8 |         25 |        258 |
| student\activate                                                                                 |          1 |        225 |          8 |         25 |        258 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                         | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\[...catchAll]\page.tsx                           | TypeScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\accept-invite\page.tsx                           | TypeScript JSX |        157 |         16 |         16 |        189 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\AcademicPeriodManager.tsx | TypeScript JSX |        189 |          1 |         14 |        204 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\page.tsx                  | TypeScript JSX |         45 |          1 |          7 |         53 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\CourseManager.tsx                  | TypeScript JSX |        228 |          3 |         16 |        247 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\page.tsx                           | TypeScript JSX |         34 |          3 |          8 |         45 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\dashboard\page.tsx                         | TypeScript JSX |         67 |          2 |         11 |         80 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\DepartmentManager.tsx          | TypeScript JSX |        217 |          3 |         15 |        235 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\page.tsx                       | TypeScript JSX |         28 |          2 |          7 |         37 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\ExamManager.tsx                      | TypeScript JSX |        231 |          1 |         13 |        245 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\page.tsx                             | TypeScript JSX |         48 |          0 |          7 |         55 |
